codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
15109,Buenavista,Boyacá,0,0,0,0,0,0,0,0,0,1071,1409,1808,2760,0,0,0,0,0
15114,Busbanzá,Boyacá,0,0,0,0,0,0,0,0,0,1095,1425,1688,2601,0,0,0,0,0
15131,Caldas,Boyacá,0,0,0,0,0,0,0,0,0,5180,0,8261,13475,0,0,0,0,0
15135,Campohermoso,Boyacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15162,Cerinza,Boyacá,0,0,0,0,0,0,0,0,0,2349,0,0,0,0,0,0,0,0
15172,Chinavita,Boyacá,0,0,0,0,0,0,0,0,0,2891,0,1953,2692,0,0,0,0,0
15180,Chiscas,Boyacá,0,0,0,0,0,0,0,0,0,1102,1449,2821,0,0,0,0,0,0
15183,Chita,Boyacá,0,0,0,0,0,0,0,0,0,4639,4109,6715,7594,0,0,0,0,0
15185,Chitaraque,Boyacá,0,0,0,0,0,0,0,0,0,5377,6188,11926,20696,0,0,0,0,0
15187,Chivatá,Boyacá,0,0,0,0,0,0,0,0,0,52165,0,150490,227632,0,0,0,0,0
15189,Ciénega,Boyacá,0,0,0,0,0,0,0,0,0,4640,5183,0,0,0,0,0,0,0
15204,Cómbita,Boyacá,0,0,0,0,0,0,0,0,0,1356,0,0,0,0,0,0,0,0
15212,Coper,Boyacá,0,0,0,0,0,0,0,0,0,1998,3410,0,0,0,0,0,0,0
15215,Corrales,Boyacá,0,0,0,0,0,0,0,0,0,2841,3562,0,0,0,0,0,0,0
15218,Covarachía,Boyacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15223,Cubará,Boyacá,0,0,0,0,0,0,0,0,0,2291,0,2140,2234,0,0,0,0,0
15224,Cucaita,Boyacá,0,0,0,0,0,0,0,0,0,1267,1512,3142,4761,0,0,0,0,0
15226,Cuítiva,Boyacá,0,0,0,0,0,0,0,0,0,5543,6851,15119,0,0,0,0,0,0
15232,Chíquiza,Boyacá,0,0,0,0,0,0,0,0,0,1649,1532,2579,2920,0,0,0,0,0
15236,Chivor,Boyacá,0,0,0,0,0,0,0,0,0,472,0,822,1290,0,0,0,0,0
15248,El Espino,Boyacá,5310,15566.99,939,6218.03,120,64.93,6369,21849.95,1,1838,2364,4490,6059,7,2223.855714,888.29,9.275714286,3121.421429
15272,Firavitoba,Boyacá,0,0,0,0,0,0,0,0,0,4558,2635,10532,8904,0,0,0,0,0
15276,Floresta,Boyacá,0,0,0,0,0,0,0,0,0,1836,1456,3129,3199,0,0,0,0,0
15293,Gachantivá,Boyacá,0,0,0,0,0,0,0,0,0,6585,8086,15917,15229,0,0,0,0,0
15296,Gameza,Boyacá,0,0,0,0,0,0,0,0,0,14315,20428,0,0,0,0,0,0,0
15317,Guacamayas,Boyacá,0,0,0,0,0,0,0,0,0,1821,2348,4484,0,0,0,0,0,0
15332,Güicán,Boyacá,0,0,0,0,0,0,0,0,0,1592,0,2412,2419,0,0,0,0,0
15362,Iza,Boyacá,0,0,0,0,0,0,0,0,0,4168,8227,0,0,0,0,0,0,0
15367,Jenesano,Boyacá,0,0,0,0,0,0,0,0,0,1852,2305,3527,0,0,0,0,0,0
15368,Jericó,Boyacá,0,0,0,0,0,0,0,0,0,1397,1419,0,0,0,0,0,0,0
15377,Labranzagrande,Boyacá,0,0,0,0,0,0,0,0,0,1575,1842,3107,0,0,0,0,0,0
15380,La Capilla,Boyacá,0,0,0,0,0,0,0,0,0,1218,1669,0,0,0,0,0,0,0
15401,La Victoria,Boyacá,0,0,0,0,0,0,0,0,0,3778,0,7854,12352,0,0,0,0,0
15403,La Uvita,Boyacá,7506,21973,1352,4926.83,41,12.86,8899,26912.21,1,2164,2596,4153,5227,7,3139,703.8328571,1.837142857,3844.601429
15425,Macanal,Boyacá,0,0,0,0,0,0,0,0,0,2443,2738,5750,8521,0,0,0,0,0
15442,Maripí,Boyacá,0,0,0,0,0,0,0,0,0,2771,3056,5922,9931,0,0,0,0,0
15464,Mongua,Boyacá,0,0,0,0,0,0,0,0,0,1743,2273,4309,6619,0,0,0,0,0
15466,Monguí,Boyacá,0,0,0,0,0,0,0,0,0,2374,3387,7795,0,0,0,0,0,0
15476,Motavita,Boyacá,0,0,0,0,0,0,0,0,0,957,2034,3957,5860,0,0,0,0,0
15480,Muzo,Boyacá,193,114.92,95,69.92,1,0.7,289,185.55,1,1052,0,3679,2714,1,114.92,69.92,0.7,185.55
15491,Nobsa,Boyacá,0,0,0,0,0,0,0,0,0,1198,1064,1871,3018,0,0,0,0,0
15494,Nuevo Colón,Boyacá,0,0,0,0,0,0,0,0,0,1201,2029,9172,14038,0,0,0,0,0
15500,Oicatá,Boyacá,0,0,0,0,0,0,0,0,0,7543,5239,10526,0,0,0,0,0,0
15507,Otanche,Boyacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15511,Pachavita,Boyacá,0,0,0,0,0,0,0,0,0,6574,11553,27106,0,0,0,0,0,0
15514,Páez,Boyacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15516,Paipa,Boyacá,502,50.16,167,29.51,65,12.18,734,91.85,1,1797,2082,3483,5629,1,50.16,29.51,12.18,91.85
15518,Pajarito,Boyacá,0,0,0,0,0,0,0,0,0,2652,3366,5644,0,0,0,0,0,0
15522,Panqueba,Boyacá,0,0,0,0,0,0,0,0,0,2062,2407,5195,0,0,0,0,0,0
15533,Paya,Boyacá,0,0,0,0,0,0,0,0,0,1505,1477,3193,0,0,0,0,0,0
15537,Paz de Río,Boyacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15550,Pisba,Boyacá,0,0,0,0,0,0,0,0,0,1370,1569,3000,3956,0,0,0,0,0
