,codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,alf_A2018,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
130,13042.0,Arenal,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,98.2,0,0.0,0.0,0.0,0.0
131,13052.0,Arjona,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,3196,4716.0,5272,7416,99.4,0,0.0,0.0,0.0,0.0
132,13062.0,Arroyohondo,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,94.1,0,0.0,0.0,0.0,0.0
133,13074.0,Barranco de Loba,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,92.9,0,0.0,0.0,0.0,0.0
134,13160.0,Cantagallo,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,97.7,0,0.0,0.0,0.0,0.0
135,13188.0,Cicuco,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,94.0,0,0.0,0.0,0.0,0.0
136,13212.0,Córdoba,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,398,0.0,682,2741,96.7,0,0.0,0.0,0.0,0.0
137,13222.0,Clemencia,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,794,0.0,1325,1772,96.9,0,0.0,0.0,0.0,0.0
138,13248.0,El Guamo,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,90.3,0,0.0,0.0,0.0,0.0
139,13268.0,El Peñón,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,3174,0.0,6119,8461,94.8,0,0.0,0.0,0.0,0.0
140,13300.0,Hatillo de Loba,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,91.8,0,0.0,0.0,0.0,0.0
141,13433.0,Mahates,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,3633,0.0,9747,15627,94.9,0,0.0,0.0,0.0,0.0
142,13440.0,Margarita,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,94364,0.0,334459,505003,94.8,0,0.0,0.0,0.0,0.0
143,13458.0,Montecristo,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,97.5,0,0.0,0.0,0.0,0.0
144,13473.0,Morales,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,100.0,0,0.0,0.0,0.0,0.0
145,13490.0,Norosí (1),Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,98.4,0,0.0,0.0,0.0,0.0
146,13549.0,Pinillos,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,95.9,0,0.0,0.0,0.0,0.0
147,13580.0,Regidor,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,97.7,0,0.0,0.0,0.0,0.0
148,13600.0,Río Viejo (1)(3),Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,96.4,0,0.0,0.0,0.0,0.0
149,13620.0,San Cristóbal,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,842,0.0,2283,2554,100.0,0,0.0,0.0,0.0,0.0
150,13647.0,San Estanislao,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,1854,0.0,7159,11939,95.7,0,0.0,0.0,0.0,0.0
151,13650.0,San Fernando,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,1079,0.0,6370,9563,92.6,0,0.0,0.0,0.0,0.0
152,13654.0,San Jacinto,Bolívar,247,11.06,91,28.36,38,8.14,376,47.57,1,1278,0.0,3128,5559,94.9,1,11.06,28.36,8.14,47.57
153,13655.0,San Jacinto del Cauca,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,96.7,0,0.0,0.0,0.0,0.0
154,13657.0,San Juan Nepomuceno,Bolívar,2302,1912.74,2177,15975.39,230,69.42,4709,17957.55,1,1127,0.0,2642,4180,94.7,7,273.2485714,2282.198571,9.917142857,2565.364286
155,13667.0,San Martín de Loba,Bolívar,0,0.0,0,0.0,0,0.0,0,0.0,0,1447,0.0,3014,3250,97.2,0,0.0,0.0,0.0,0.0
